simulation_id,max_drawdown_pct,max_drawdown_usdt,max_losing_streak,final_equity_usdt,final_net_pnl_usdt
553,28.5169614,305.91,8,7239.12,6239.12
554,20.32245658,421.9,10,7239.12,6239.12
555,24.89322327,563.6,11,7239.12,6239.12
556,25.95081936,399.51,11,7239.12,6239.12
557,19.03523312,451.35,13,7239.12,6239.12
558,14.99446861,272.64,10,7239.12,6239.12
559,28.01147979,476.5,20,7239.12,6239.12
560,22.06138441,385.82,9,7239.12,6239.12
561,15.27,522.82,9,7239.12,6239.12
562,17.51448464,392.68,12,7239.12,6239.12
563,16.38932825,406.18,10,7239.12,6239.12
564,6.484228514,339.4,8,7239.12,6239.12
565,11.12109773,354.96,9,7239.12,6239.12
566,11.24123595,610.21,13,7239.12,6239.12
567,25.47872241,520.7,11,7239.12,6239.12
568,25.73850238,451.86,11,7239.12,6239.12
569,19.31263503,440.61,11,7239.12,6239.12
570,22.58206199,404.38,10,7239.12,6239.12
571,24.6471081,476.68,10,7239.12,6239.12
572,13.04476636,601.68,10,7239.12,6239.12
573,13.25097396,345.62,10,7239.12,6239.12
574,16.54421687,321.56,13,7239.12,6239.12
575,21.57037111,531.33,8,7239.12,6239.12
576,14.73072656,399.36,8,7239.12,6239.12
577,27.2304086,328.75,11,7239.12,6239.12
